States,Latitude,Longitude,Corn(1000Bushels),Wheat(1000Bushels),Oat(1000Bushels),Soybean(1000Bushels),Barley(1000Bushels),Cotton(1000Bales)
Alabama,32.688053,-86.810585,39000 ,7920 ,945 ,13940 ,,860 
Arizona,34.255149,-111.62621,3300 ,7580 ,,,900 ,469 
Arkansas,34.755883,-92.640559,116745 ,5225 ,525 ,165240 ,,1150 
California,36.531544,-119.586168,11245 ,11605 ,420 ,,1794 ,902 
Colorado,38.996664,-105.547822,156000 ,70504 ,350 ,,7540 ,
Connecticut,41.580163,-72.756629,,,,,,
Delaware,38.978849,-75.46014,24070 ,3195 ,,7056 ,1092 ,
Florida,27.97762,-81.769611,10205 ,360 ,,456 ,,120 
Georgia,32.53951,-83.380775,50160 ,3780 ,1065 ,5400 ,,1950 
Idaho,43.764877,-114.964267,28755 ,104410 ,840 ,,53530 ,
Illinois,40.265028,-89.191575,2278500 ,36960 ,2075 ,698750 ,,
Indiana,39.904493,-86.250281,982800 ,18460 ,,346320 ,,
Iowa,42.039943,-93.500069,2508800 ,348 ,2079 ,564870 ,,
Kansas,38.500327,-98.380429,645000 ,277400 ,882 ,204450 ,186 ,342 
Kentucky,37.696825,-84.924095,215250 ,19800 ,,103480 ,,
Louisiana,30.542601,-92.51441,77850 ,650 ,,62400 ,,410 
Maine,45.243327,-69.171071,,,1273 ,,1168 ,
Maryland,39.038828,-76.346717,56940 ,12600 ,,24463 ,1680 ,
Massachusetts,42.358752,-71.531484,,35720 ,,,,
Michigan,43.924812,-84.633107,296820 ,92930 ,3150 ,109440 ,215 ,
Minnesota,46.63636,-94.579641,1363180 ,1470 ,6195 ,389355 ,5092 ,
Mississippi,32.921921,-89.687118,86025 ,30680 ,,119355 ,,1430 
Missouri,38.353141,-92.747022,466200 ,197630 ,720 ,261000 ,,835 
Montana,47.001265,-109.645406,5780 ,49490 ,989 ,,33600 ,
Nebraska,41.499671,-99.810075,1787520 ,,1518 ,333350 ,,
Nevada,39.440688,-116.598569,,900 ,,,,
New Hampshire,43.644386,-71.586283,,,,,,
New Jersey,39.66502,-74.738208,8601 ,930 ,,4120 ,,
New Mexico,34.498624,-106.108278,6545 ,1575 ,,,,122 
New York,40.68295,-73.9708,102555 ,6555 ,2322 ,16800 ,464 ,
North Carolina,35.387362,-78.455056,93790 ,21090 ,726 ,53380 ,640 ,700 
North Dakota,47.471495,-100.469096,448290 ,363483 ,8610 ,243530 ,28490 ,
Ohio,40.262259,-82.883453,617100 ,33750 ,1950 ,288840 ,,
Oklahoma,35.455622,-97.508021,37520 ,70000 ,480 ,18000 ,,750 
Oregon,43.854178,-120.526709,8775 ,51590 ,495 ,,1378 ,
Pennsylvania,40.860198,-77.838617,133000 ,9425 ,1610 ,28350 ,2079 ,
Rhode Island,41.587536,-71.514739,,,,,,
South Carolina,33.702857,-80.627523,39370 ,3510 ,434 ,11063 ,715 ,440 
South Dakota,44.470716,-100.229958,777600 ,72294 ,7790 ,256680 ,,
Tennessee,35.820245,-86.343764,115920 ,18525 ,,76820 ,,780 
Texas,31.030974,-98.326329,189000 ,56000 ,2500 ,4320 ,,6935 
Utah,39.098999,-111.878816,4004 ,5356 ,,,1376 ,
Vermont,44.211857,-72.681238,,,,,,
Virginia,37.73086,-78.376655,47450 ,9300 ,,25370 ,630 ,195 
Washington,47.372269,-120.59234,18700 ,153210 ,184 ,,4891 ,
West Virginia,38.720281,-80.649428,5016 ,138 ,,1445 ,,
Wisconsin,44.356004,-89.466198,545240 ,14200 ,5490 ,105840 ,450 ,
Wyoming,43.001645,-107.55153,11480 ,3910 ,513 ,,5000 ,
